order_id,order_date,customer_id,product_name,category,price,quantity_sold,product_cost,profit,stock_remaining,payment_method
ORD0001,2025-05-15,CUST226,Prosciutto Crudo 200g,Cured Meat,8.9,2,5.4,7.0,4.0,Cash
ORD0002,2025-02-03,CUST583,Parmigiano Reggiano 1kg,Cheese,27.9,2,18.5,18.8,88.0,Debit Card
ORD0003,2025-11-27,CUST865,Orecchiette 500g,Pasta,3.9,3,1.9,6.0,140.0,Debit Card
ORD0004,2025-08-17,CUST587,Parmigiano Reggiano 1kg,Cheese,27.9,2,18.5,18.8,34.0,Cash
ORD0005,2025-08-26,CUST175,Orange Marmalade 300g,Preserves,5.5,1,2.7,2.8,20.0,Cash
ORD0006,2025-11-24,CUST390,Prosciutto Crudo 200g,Cured Meat,8.9,2,5.4,7.0,9.0,Unknown
ORD0007,2025-10-13,CUST555,Pancetta Arrotolata 250g,Cured Meat,6.9,3,4.1,8.4,58.0,Cash
ORD0008,2025-01-22,CUST423,Prosecco DOC 750ml,Wine,12.9,2,7.5,10.8,81.0,PayPal
ORD0009,2025-01-15,CUST907,Pancetta Arrotolata 250g,Cured Meat,6.9,2,4.1,5.6,146.0,Credit Card
ORD0010,2025-05-10,CUST184,Fig Jam 300g,Preserves,5.9,5,2.9,15.0,12.0,Credit Card
ORD0011,2025-08-26,CUST269,Taralli Pugliesi 400g,Bakery,4.9,1,2.4,2.5,44.0,Cash
ORD0012,2025-06-16,CUST150,Fresh Pasta 500g,Pasta,4.5,2,2.2,4.6,86.0,Debit Card
ORD0013,2025-07-25,CUST920,Truffle Pasta 250g,Pasta,7.9,2,4.8,6.2,72.0,PayPal
ORD0014,2025-05-21,CUST242,Linguine Artisan 500g,Pasta,4.2,1,2.1,2.1,102.0,PayPal
ORD0015,2025-12-03,CUST955,Truffle Pasta 250g,Pasta,7.9,2,4.8,6.2,56.0,Cash
ORD0016,2025-11-11,CUST111,Nero d'Avola 750ml,Wine,16.5,2,10.2,12.6,74.0,Cash
ORD0017,2025-02-27,CUST909,Truffle Pasta 250g,Pasta,7.9,1,4.8,3.1,53.0,Debit Card
ORD0018,2025-06-22,CUST556,Salame Napoli 300g,Cured Meat,6.5,1,3.9,2.6,108.0,PayPal
ORD0019,2025-06-13,CUST163,Pecorino Romano 500g,Cheese,13.5,1,9.1,4.4,38.0,Credit Card
ORD0020,2025-12-06,CUST515,Salame Napoli 300g,Cured Meat,6.5,4,3.9,10.4,27.0,Debit Card
ORD0021,2025-11-13,CUST779,Orange Marmalade 300g,Cheese,5.5,3,2.7,8.4,137.0,PayPal
ORD0022,2025-07-06,CUST366,Pancetta Arrotolata 250g,Cured Meat,6.9,2,4.1,5.6,149.0,Cash
ORD0023,2025-05-06,CUST727,Barolo Riserva 750ml,Wine,49.9,2,29.3,41.2,125.0,PayPal
ORD0024,2025-09-14,CUST692,Truffle Olive Oil 250ml,Olive Oil,12.9,4,7.9,20.0,118.0,PayPal
ORD0025,2025-08-18,CUST168,Fresh Pasta 500g,Pasta,4.5,3,2.2,6.9,130.0,Credit Card
